epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.93151,1.9639,3.6108,1.89758,0.00599,0.56136,0.08973,0.01583,1.72894,3.83919,1.96339,1.25e-05,1.25e-05,1.25e-05
2,11.6679,1.94694,3.63624,1.81446,0.00659,0.58636,0.10099,0.01911,1.65511,3.84247,1.9503,3.71287e-05,3.71287e-05,3.71287e-05
3,14.9679,1.90724,3.55878,1.86453,0.00743,0.63636,0.06569,0.01925,1.58959,3.81421,1.9018,6.12625e-05,6.12625e-05,6.12625e-05
4,20.6217,1.83779,3.48349,1.78542,0.007,0.61136,0.07423,0.02543,1.41231,3.83907,1.76195,8.49012e-05,8.49012e-05,8.49012e-05
5,26.0913,1.64921,3.39015,1.66913,0.00769,0.63409,0.09465,0.03976,1.40455,3.77083,1.73633,0.000108045,0.000108045,0.000108045
6,31.4712,1.71149,3.36741,1.67857,0.00848,0.63182,0.15889,0.06202,1.39558,3.71385,1.6777,0.000130694,0.000130694,0.000130694
7,36.8703,1.63113,3.0564,1.59951,0.00913,0.63182,0.17854,0.07125,1.35129,3.6648,1.61041,0.000152847,0.000152847,0.000152847
8,42.25,1.61916,2.80253,1.60415,0.00977,0.63182,0.22556,0.08637,1.4161,3.63699,1.63604,0.000174506,0.000174506,0.000174506
9,47.7394,1.55173,2.47139,1.53339,0.00979,0.63182,0.19608,0.08867,1.42851,3.6081,1.6377,0.00019567,0.00019567,0.00019567
10,53.1564,1.52363,2.39861,1.55972,0.00991,0.65682,0.17362,0.08139,1.42328,3.54789,1.6321,0.000216339,0.000216339,0.000216339
11,58.6369,1.53914,2.21395,1.50686,0.01224,0.7,0.18285,0.08894,1.43662,3.46142,1.61943,0.000236513,0.000236513,0.000236513
12,60.704,1.62489,2.14993,1.53623,0.01272,0.7,0.17501,0.09641,1.42442,3.38583,1.60254,0.000256191,0.000256191,0.000256191
13,66.1165,1.53512,2.15626,1.53994,0.01339,0.7,0.17486,0.10181,1.37612,3.33529,1.55789,0.000275375,0.000275375,0.000275375
14,71.5597,1.55057,2.02571,1.5123,0.01439,0.7,0.19284,0.1074,1.36989,3.31743,1.53293,0.000294064,0.000294064,0.000294064
15,76.9873,1.5144,1.8459,1.51705,0.01657,0.725,0.21724,0.1055,1.37457,3.33942,1.54404,0.000312257,0.000312257,0.000312257
16,82.4982,1.54035,1.93512,1.51972,0.01545,0.67955,0.15893,0.09249,1.45155,3.40919,1.60251,0.000329956,0.000329956,0.000329956
17,88.1194,1.50184,1.73348,1.47704,0.01338,0.63182,0.14688,0.09145,1.5024,3.43055,1.63579,0.00034716,0.00034716,0.00034716
18,91.5098,1.38755,1.71502,1.413,0.01415,0.67955,0.19612,0.10965,1.54165,3.3689,1.67535,0.000363869,0.000363869,0.000363869
19,97.1241,1.36178,1.64684,1.43846,0.51001,0.17415,0.22157,0.13623,1.48089,3.28868,1.6111,0.000380083,0.000380083,0.000380083
20,102.683,1.40649,1.54711,1.44063,1,0.1272,0.26448,0.16018,1.47357,3.14184,1.60997,0.000395801,0.000395801,0.000395801
21,108.242,1.39293,1.68888,1.59316,0.92227,0.09545,0.27055,0.16376,1.50243,3.02427,1.62985,0.000411025,0.000411025,0.000411025
22,113.838,1.36308,1.40784,1.38144,1,0.15171,0.2947,0.18967,1.49777,2.97682,1.61628,0.000425754,0.000425754,0.000425754
23,119.525,1.4456,1.54248,1.49448,0.91698,0.16738,0.3069,0.18116,1.59018,2.85468,1.66756,0.000439988,0.000439988,0.000439988
24,122.88,1.33016,1.37996,1.41165,0.78168,0.14091,0.29932,0.17669,1.65487,2.76214,1.69539,0.000453726,0.000453726,0.000453726
25,128.542,1.37438,1.29327,1.3916,0.74678,0.15201,0.29076,0.16677,1.64787,2.69601,1.72882,0.00046697,0.00046697,0.00046697
26,134.167,1.36119,1.54724,1.40305,0.76911,0.1658,0.30368,0.16998,1.69759,2.6926,1.78321,0.000479719,0.000479719,0.000479719
27,139.806,1.35741,1.36392,1.48164,0.8197,0.24613,0.43951,0.17453,1.8298,2.5595,1.87544,0.000491972,0.000491972,0.000491972
28,145.448,1.37054,1.25749,1.39513,0.8197,0.24613,0.43951,0.17453,1.8298,2.5595,1.87544,0.000503731,0.000503731,0.000503731
29,151.24,1.35538,1.43836,1.42053,0.80593,0.26914,0.45412,0.25371,1.81932,2.47948,1.8682,0.000514995,0.000514995,0.000514995
30,154.472,1.4183,1.34847,1.40053,0.86749,0.29973,0.47171,0.26387,1.68348,2.3176,1.75456,0.000525764,0.000525764,0.000525764
31,160.007,1.35895,1.32431,1.45415,0.86749,0.29973,0.47171,0.26387,1.68348,2.3176,1.75456,0.000536038,0.000536038,0.000536038
32,165.591,1.28237,1.23892,1.3463,0.86584,0.29636,0.58031,0.3305,1.54458,2.17152,1.57632,0.000545816,0.000545816,0.000545816
33,171.228,1.27442,1.37485,1.38765,0.82105,0.32206,0.49439,0.30323,1.51953,2.06766,1.53083,0.0005551,0.0005551,0.0005551
34,176.862,1.22905,1.16897,1.31054,0.82105,0.32206,0.49439,0.30323,1.51953,2.06766,1.53083,0.000563889,0.000563889,0.000563889
35,182.782,1.25978,1.20108,1.41697,0.58451,0.33197,0.37663,0.21095,1.50494,2.10493,1.51254,0.000572182,0.000572182,0.000572182
