epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.154,1.65961,3.37234,1.81856,0.00767,0.6497,0.21209,0.10406,1.60933,4.1796,1.81067,0.00031108,0.00031108,0.00031108
2,200.283,1.68387,2.51849,1.81733,0.86691,0.06373,0.27116,0.11652,1.86239,3.7655,2.00182,0.00063118,0.00063118,0.00063118
3,286.827,1.71001,2.3413,1.776,0.45464,0.34559,0.27718,0.10708,1.89259,3.26871,2.09696,0.000949154,0.000949154,0.000949154
4,369.58,1.67485,2.27385,1.78421,0.25162,0.41223,0.30227,0.11462,2.06758,3.28848,2.33651,0.0011,0.0011,0.0011
5,454.161,1.66733,2.165,1.75433,0.29629,0.31245,0.25485,0.11092,2.03761,3.48537,2.34523,0.00109633,0.00109633,0.00109633
6,540.272,1.6738,2.08759,1.74782,0.35817,0.3847,0.31316,0.12669,2.18237,4.0949,2.54292,0.00109267,0.00109267,0.00109267
7,624.562,1.66014,2.02215,1.7549,0.51479,0.41136,0.40692,0.17375,2.04439,2.93592,2.16648,0.001089,0.001089,0.001089
8,707.858,1.64016,1.94087,1.72223,0.73291,0.42254,0.50416,0.20477,1.97726,2.63006,2.1456,0.00108534,0.00108534,0.00108534
9,789.805,1.62636,1.84161,1.71263,0.70068,0.24995,0.31199,0.12172,2.07167,3.08904,2.24385,0.00108167,0.00108167,0.00108167
10,873.524,1.60559,1.79897,1.68525,0.70897,0.46722,0.53779,0.2307,1.96935,2.75439,2.27523,0.001078,0.001078,0.001078
11,959.697,1.57649,1.754,1.67739,0.56848,0.56759,0.53093,0.23233,1.92371,2.37599,2.07804,0.00107434,0.00107434,0.00107434
12,1042.41,1.58502,1.74411,1.68796,0.63552,0.46944,0.52372,0.22462,2.02478,2.5182,2.11095,0.00107067,0.00107067,0.00107067
13,1124.97,1.56455,1.6664,1.67603,0.59184,0.59539,0.57766,0.26966,1.77526,2.1859,1.93445,0.001067,0.001067,0.001067
14,1207.41,1.52967,1.63922,1.6373,0.70316,0.64847,0.64719,0.28243,1.81572,1.87366,1.9138,0.00106334,0.00106334,0.00106334
15,1291.85,1.53449,1.59483,1.61688,0.52407,0.62166,0.61223,0.259,1.85045,2.10665,1.99018,0.00105967,0.00105967,0.00105967
16,1375.57,1.50684,1.61947,1.62666,0.56729,0.59768,0.54559,0.23847,1.88758,2.25275,2.00341,0.00105601,0.00105601,0.00105601
17,1460.19,1.53027,1.58624,1.64736,0.64532,0.6025,0.62934,0.2837,1.79318,1.99532,1.90799,0.00105234,0.00105234,0.00105234
18,1543.09,1.47937,1.54031,1.60904,0.72542,0.63095,0.62597,0.2786,1.87726,2.16853,2.06697,0.00104867,0.00104867,0.00104867
19,1626.7,1.50306,1.44659,1.59016,0.61654,0.58789,0.58458,0.26414,1.80057,1.97803,1.9352,0.00104501,0.00104501,0.00104501
20,1711.89,1.45857,1.46472,1.60738,0.71659,0.64785,0.67359,0.31395,1.76997,1.81752,1.9076,0.00104134,0.00104134,0.00104134
21,1794.56,1.45952,1.42466,1.57113,0.75146,0.62226,0.6784,0.31799,1.77357,1.75708,1.88241,0.00103767,0.00103767,0.00103767
22,1877.72,1.42545,1.38509,1.55771,0.65179,0.60603,0.63154,0.29892,1.78469,1.80926,1.89083,0.00103401,0.00103401,0.00103401
23,1960.6,1.45361,1.39485,1.56601,0.65816,0.62887,0.63961,0.31634,1.6989,1.73756,1.8317,0.00103034,0.00103034,0.00103034
24,2043.56,1.45529,1.34021,1.56074,0.76616,0.68598,0.70033,0.33751,1.68136,1.65065,1.82179,0.00102668,0.00102668,0.00102668
25,2129.19,1.40469,1.31214,1.54209,0.80125,0.66735,0.71056,0.3547,1.72669,1.62584,1.8859,0.00102301,0.00102301,0.00102301
26,2212.04,1.42702,1.31478,1.56515,0.73745,0.68118,0.7055,0.34482,1.73907,1.61583,1.87172,0.00101934,0.00101934,0.00101934
27,2295.55,1.39888,1.28245,1.52877,0.7377,0.69763,0.69816,0.34406,1.73436,1.70274,1.85673,0.00101568,0.00101568,0.00101568
28,2379.05,1.42885,1.24164,1.5071,0.69429,0.69461,0.64217,0.31836,1.70581,1.68377,1.84791,0.00101201,0.00101201,0.00101201
29,2461.9,1.36573,1.28988,1.52186,0.79102,0.63109,0.66755,0.34105,1.74443,1.71548,1.92082,0.00100834,0.00100834,0.00100834
30,2547.45,1.36974,1.29139,1.54851,0.73347,0.69546,0.69293,0.34106,1.74565,1.50869,1.90736,0.00100468,0.00100468,0.00100468
31,2631,1.38594,1.24854,1.5268,0.75144,0.64439,0.68503,0.34576,1.61612,1.56243,1.79234,0.00100101,0.00100101,0.00100101
32,2713.93,1.36254,1.23122,1.5099,0.72304,0.64839,0.69841,0.32423,1.70308,1.51595,1.85294,0.000997345,0.000997345,0.000997345
33,2797.52,1.36879,1.25806,1.50648,0.73131,0.70799,0.66676,0.33571,1.75409,1.49186,1.95193,0.000993678,0.000993678,0.000993678
34,2880.76,1.35699,1.18085,1.49551,0.78066,0.73061,0.72343,0.35739,1.67926,1.42609,1.81344,0.000990012,0.000990012,0.000990012
35,2966.59,1.37399,1.23917,1.52185,0.76088,0.73916,0.71241,0.35,1.74219,1.46276,1.859,0.000986346,0.000986346,0.000986346
36,3050.75,1.33734,1.17483,1.48029,0.72406,0.69752,0.71115,0.35938,1.69548,1.45779,1.83883,0.000982679,0.000982679,0.000982679
37,3134.99,1.34358,1.18632,1.47268,0.7198,0.72172,0.70355,0.34438,1.77403,1.54793,1.92673,0.000979013,0.000979013,0.000979013
38,3218.3,1.31005,1.19361,1.48439,0.7822,0.68514,0.70885,0.35244,1.74011,1.46806,1.9023,0.000975347,0.000975347,0.000975347
39,3303.05,1.30189,1.10268,1.45863,0.74946,0.6554,0.68525,0.33199,1.83792,1.56857,1.9616,0.000971681,0.000971681,0.000971681
40,3389.54,1.32759,1.13142,1.45887,0.76255,0.69413,0.72693,0.36273,1.70888,1.47652,1.83726,0.000968014,0.000968014,0.000968014
41,3473.56,1.30772,1.1386,1.4455,0.7765,0.72621,0.72429,0.35134,1.81834,1.50207,2.0246,0.000964348,0.000964348,0.000964348
42,3558.23,1.31962,1.12767,1.47168,0.72715,0.73799,0.70721,0.34913,1.72841,1.39477,1.85467,0.000960682,0.000960682,0.000960682
43,3643.12,1.26367,1.09518,1.44502,0.73266,0.63202,0.69356,0.3396,1.71112,1.52625,1.85629,0.000957015,0.000957015,0.000957015
44,3728.71,1.30498,1.11669,1.46132,0.7324,0.64643,0.69671,0.34297,1.69703,1.50572,1.84372,0.000953349,0.000953349,0.000953349
45,3815.27,1.30168,1.13174,1.47259,0.75314,0.68181,0.69887,0.34128,1.81097,1.44332,2.01864,0.000949683,0.000949683,0.000949683
46,3902.12,1.28434,1.07718,1.43291,0.72555,0.65935,0.68224,0.33118,1.75265,1.56773,1.91899,0.000946016,0.000946016,0.000946016
47,3988.91,1.25249,1.07302,1.41646,0.79585,0.7457,0.76781,0.38155,1.69486,1.29271,1.8502,0.00094235,0.00094235,0.00094235
48,4077.15,1.24311,1.05431,1.42346,0.76829,0.66512,0.71228,0.33749,1.7008,1.47478,1.82598,0.000938684,0.000938684,0.000938684
49,4163.12,1.26511,1.07908,1.44453,0.77368,0.68844,0.71554,0.36056,1.6541,1.34689,1.82984,0.000935018,0.000935018,0.000935018
50,4249.29,1.26128,1.0687,1.43053,0.74154,0.75029,0.71303,0.37975,1.62081,1.31306,1.77259,0.000931351,0.000931351,0.000931351
51,4338.28,1.22941,1.02086,1.40986,0.73344,0.71776,0.69013,0.34251,1.74476,1.38846,1.89956,0.000927685,0.000927685,0.000927685
52,4426.21,1.24901,1.03074,1.42515,0.7841,0.75543,0.74264,0.3517,1.72388,1.37626,1.89626,0.000924019,0.000924019,0.000924019
53,4513.41,1.25308,1.09009,1.43214,0.75328,0.78014,0.76452,0.36807,1.68396,1.28123,1.78956,0.000920352,0.000920352,0.000920352
54,4602.34,1.22216,1.04287,1.40411,0.83119,0.71281,0.75903,0.37205,1.66949,1.27744,1.83252,0.000916686,0.000916686,0.000916686
55,4689.55,1.21413,1.05004,1.41423,0.79546,0.75003,0.76044,0.37638,1.63449,1.2931,1.79637,0.00091302,0.00091302,0.00091302
56,4777.69,1.19945,1.00122,1.401,0.73583,0.73125,0.71499,0.35877,1.71745,1.3338,1.81617,0.000909353,0.000909353,0.000909353
57,4864.68,1.21877,1.01966,1.37124,0.81228,0.67286,0.71842,0.35675,1.65062,1.48323,1.76959,0.000905687,0.000905687,0.000905687
58,4952.46,1.20311,0.96792,1.37639,0.78714,0.69391,0.74963,0.39176,1.64095,1.32879,1.76295,0.000902021,0.000902021,0.000902021
59,5040.37,1.19706,0.97315,1.40079,0.79673,0.73983,0.7535,0.38076,1.6873,1.2947,1.8093,0.000898355,0.000898355,0.000898355
60,5128.55,1.21724,0.98151,1.39163,0.77088,0.62973,0.67109,0.33308,1.74764,1.65918,1.85853,0.000894688,0.000894688,0.000894688
61,5218.26,1.18628,0.97265,1.38436,0.84557,0.66966,0.72426,0.3814,1.65179,1.39574,1.79033,0.000891022,0.000891022,0.000891022
62,5308.75,1.15079,0.93649,1.3502,0.79711,0.74731,0.7458,0.38871,1.71374,1.30205,1.8818,0.000887356,0.000887356,0.000887356
63,5398.71,1.17009,0.95131,1.35972,0.80542,0.73267,0.7481,0.38574,1.72794,1.30278,1.88896,0.000883689,0.000883689,0.000883689
64,5501.49,1.17214,0.92444,1.36545,0.80379,0.69402,0.74221,0.38179,1.6388,1.33264,1.8203,0.000880023,0.000880023,0.000880023
65,5587.2,1.1702,0.93874,1.36171,0.78532,0.75379,0.7754,0.39787,1.66675,1.30874,1.85136,0.000876357,0.000876357,0.000876357
66,5674.21,1.20019,0.93984,1.38929,0.7949,0.74606,0.77741,0.384,1.65197,1.2988,1.8517,0.000872691,0.000872691,0.000872691
67,5761.91,1.21172,0.97442,1.37343,0.78356,0.70315,0.73473,0.38302,1.63142,1.3108,1.85626,0.000869024,0.000869024,0.000869024
68,5849.74,1.18237,0.94433,1.36544,0.81164,0.71264,0.76688,0.40287,1.62807,1.29247,1.80551,0.000865358,0.000865358,0.000865358
69,5937.91,1.19104,0.95693,1.40761,0.82083,0.69124,0.763,0.3772,1.6893,1.26563,1.84486,0.000861692,0.000861692,0.000861692
70,6028.83,1.15984,0.93995,1.36082,0.72131,0.77816,0.74379,0.39698,1.60792,1.19557,1.79182,0.000858025,0.000858025,0.000858025
71,6117.51,1.11901,0.89902,1.34349,0.78884,0.71536,0.74569,0.37931,1.65023,1.33949,1.81874,0.000854359,0.000854359,0.000854359
72,6206.42,1.17538,0.95188,1.36204,0.79563,0.66417,0.71934,0.35619,1.68878,1.36362,1.86176,0.000850693,0.000850693,0.000850693
73,6294.77,1.16275,0.91526,1.36524,0.75439,0.79146,0.75791,0.39769,1.59699,1.21939,1.76715,0.000847026,0.000847026,0.000847026
74,6383.3,1.1215,0.88182,1.3325,0.7638,0.77484,0.74857,0.39599,1.61601,1.24899,1.79742,0.00084336,0.00084336,0.00084336
75,6472.51,1.14642,0.91891,1.36381,0.7678,0.77677,0.74081,0.39248,1.63648,1.23238,1.80776,0.000839694,0.000839694,0.000839694
76,6561.25,1.15475,0.93403,1.3497,0.78223,0.7543,0.73363,0.38698,1.65734,1.25316,1.83822,0.000836027,0.000836027,0.000836027
77,6650.35,1.1254,0.88246,1.31963,0.76756,0.78111,0.7704,0.3926,1.64432,1.16951,1.78827,0.000832361,0.000832361,0.000832361
78,6738.93,1.13219,0.88823,1.34742,0.74954,0.79462,0.77197,0.41283,1.5592,1.17811,1.78632,0.000828695,0.000828695,0.000828695
79,6827.46,1.10302,0.8884,1.30828,0.76687,0.7701,0.75787,0.41097,1.58878,1.21288,1.78746,0.000825029,0.000825029,0.000825029
80,6916.87,1.12396,0.88565,1.31379,0.80132,0.74158,0.77204,0.41181,1.59201,1.17816,1.77418,0.000821362,0.000821362,0.000821362
81,7006.54,1.11286,0.86116,1.30519,0.83734,0.69947,0.77126,0.40791,1.5868,1.20797,1.78188,0.000817696,0.000817696,0.000817696
82,7095.08,1.10776,0.85845,1.33695,0.75179,0.73683,0.73626,0.39845,1.63031,1.20983,1.84369,0.00081403,0.00081403,0.00081403
83,7184.76,1.06212,0.82771,1.31351,0.81466,0.74511,0.74669,0.41591,1.59633,1.20862,1.85932,0.000810363,0.000810363,0.000810363
84,7273.87,1.07981,0.84931,1.30945,0.7919,0.68137,0.72467,0.37734,1.66432,1.38605,1.88084,0.000806697,0.000806697,0.000806697
85,7363.58,1.09435,0.85574,1.30667,0.808,0.71818,0.7642,0.41573,1.58313,1.19401,1.79145,0.000803031,0.000803031,0.000803031
86,7454.02,1.10192,0.84447,1.31216,0.79818,0.74253,0.75681,0.40824,1.6128,1.18639,1.856,0.000799365,0.000799365,0.000799365
87,7543.53,1.09407,0.86354,1.31884,0.74798,0.74649,0.73965,0.38244,1.61553,1.20629,1.8541,0.000795698,0.000795698,0.000795698
88,7633.8,1.08188,0.82598,1.30883,0.76237,0.72691,0.74088,0.38982,1.6355,1.26345,1.85607,0.000792032,0.000792032,0.000792032
89,7723.5,1.08173,0.83942,1.31285,0.793,0.71028,0.75425,0.39815,1.60143,1.24541,1.7928,0.000788366,0.000788366,0.000788366
90,7813.16,1.05501,0.81356,1.27609,0.82386,0.73488,0.7415,0.39673,1.61433,1.19186,1.79343,0.000784699,0.000784699,0.000784699
91,7903.35,1.06183,0.81157,1.30023,0.81343,0.6819,0.73538,0.39566,1.64623,1.27084,1.84923,0.000781033,0.000781033,0.000781033
92,7993.03,1.07297,0.80224,1.30242,0.80959,0.7565,0.74554,0.39005,1.66275,1.24425,1.91769,0.000777367,0.000777367,0.000777367
93,8083.51,1.07714,0.83468,1.29814,0.78104,0.7145,0.75498,0.38955,1.63488,1.16669,1.80735,0.0007737,0.0007737,0.0007737
94,8172.59,1.08161,0.85865,1.2975,0.76082,0.73278,0.73954,0.41483,1.63141,1.25699,1.81913,0.000770034,0.000770034,0.000770034
95,8262.24,1.06843,0.82137,1.29283,0.81347,0.71373,0.76688,0.39547,1.66215,1.28121,1.84211,0.000766368,0.000766368,0.000766368
96,8352.32,1.03792,0.78036,1.25555,0.79545,0.72138,0.75852,0.41557,1.60428,1.21879,1.80778,0.000762702,0.000762702,0.000762702
97,8442.69,1.01986,0.79402,1.2581,0.79175,0.73871,0.74511,0.4155,1.5978,1.2416,1.84643,0.000759035,0.000759035,0.000759035
98,8531.92,1.04591,0.80166,1.27793,0.76041,0.71644,0.72663,0.38129,1.59717,1.29047,1.82056,0.000755369,0.000755369,0.000755369
99,8621.51,1.02543,0.77104,1.26163,0.76978,0.74474,0.75231,0.40949,1.5812,1.20588,1.80696,0.000751703,0.000751703,0.000751703
100,8711.88,1.02805,0.77462,1.23172,0.78735,0.72933,0.7365,0.39877,1.62184,1.21428,1.84425,0.000748036,0.000748036,0.000748036
101,8801.81,1.04442,0.79963,1.28086,0.77521,0.74672,0.76364,0.4008,1.57357,1.21328,1.77966,0.00074437,0.00074437,0.00074437
102,8891.23,0.98484,0.74465,1.25193,0.78913,0.74585,0.75628,0.39831,1.65964,1.14937,1.87926,0.000740704,0.000740704,0.000740704
103,8980.73,1.01737,0.77634,1.26411,0.76605,0.71959,0.74749,0.4002,1.67991,1.21858,1.86404,0.000737037,0.000737037,0.000737037
104,9069.83,1.04714,0.80464,1.26742,0.76895,0.74674,0.76257,0.41127,1.60538,1.16984,1.8126,0.000733371,0.000733371,0.000733371
105,9159.83,1.06451,0.79733,1.2774,0.77372,0.69861,0.72045,0.38073,1.61556,1.29004,1.83529,0.000729705,0.000729705,0.000729705
106,9250.27,1.02128,0.76961,1.262,0.7662,0.73544,0.76031,0.38897,1.68326,1.27095,1.88023,0.000726038,0.000726038,0.000726038
107,9339.96,1.03292,0.78423,1.25829,0.74575,0.75474,0.74081,0.40089,1.63151,1.23496,1.83952,0.000722372,0.000722372,0.000722372
108,9428.99,1.0052,0.74403,1.25313,0.72908,0.737,0.74407,0.39733,1.58114,1.26356,1.805,0.000718706,0.000718706,0.000718706
109,9519.22,1.03955,0.76203,1.254,0.80255,0.75893,0.77841,0.43052,1.54181,1.19678,1.79025,0.00071504,0.00071504,0.00071504
110,9608.4,0.9712,0.72241,1.22675,0.79863,0.77435,0.76956,0.42496,1.59481,1.2228,1.86301,0.000711373,0.000711373,0.000711373
111,9697.35,1.01328,0.75513,1.2611,0.73075,0.75955,0.74041,0.39411,1.66272,1.35872,1.9107,0.000707707,0.000707707,0.000707707
112,9787.35,0.97412,0.74918,1.23572,0.76291,0.7533,0.7392,0.39936,1.61273,1.14525,1.84739,0.000704041,0.000704041,0.000704041
113,9877.57,0.99441,0.74613,1.23181,0.77808,0.75106,0.7539,0.39789,1.61765,1.2569,1.81256,0.000700374,0.000700374,0.000700374
114,9965.54,1.02262,0.77027,1.27984,0.78656,0.73055,0.75182,0.40614,1.62939,1.27356,1.81577,0.000696708,0.000696708,0.000696708
115,10054.3,0.99811,0.76032,1.26387,0.81482,0.70898,0.74754,0.40371,1.64579,1.27698,1.84225,0.000693042,0.000693042,0.000693042
116,10143.1,0.99594,0.76144,1.24799,0.75855,0.76195,0.7424,0.40736,1.58891,1.22125,1.81439,0.000689376,0.000689376,0.000689376
117,10232.2,0.98457,0.73507,1.24364,0.79411,0.7553,0.76125,0.40377,1.58727,1.20304,1.83108,0.000685709,0.000685709,0.000685709
118,10321.4,1.003,0.7463,1.25994,0.77002,0.71921,0.76324,0.41278,1.61684,1.20068,1.85225,0.000682043,0.000682043,0.000682043
119,10409.9,0.97081,0.74744,1.24774,0.74549,0.77347,0.7577,0.41663,1.61689,1.18505,1.85792,0.000678377,0.000678377,0.000678377
120,10498.9,0.96914,0.70953,1.24032,0.81914,0.74412,0.76917,0.40271,1.62085,1.16575,1.91206,0.00067471,0.00067471,0.00067471
121,10587.9,0.97784,0.71936,1.23852,0.79491,0.74826,0.764,0.41347,1.61615,1.18291,1.91594,0.000671044,0.000671044,0.000671044
122,10676.6,0.97105,0.74466,1.25052,0.83235,0.72811,0.76393,0.41116,1.64657,1.15722,1.95731,0.000667378,0.000667378,0.000667378
123,10765.5,0.99158,0.73431,1.2467,0.81065,0.80333,0.78294,0.41156,1.59168,1.12889,1.85255,0.000663711,0.000663711,0.000663711
124,10854.5,1.00073,0.74008,1.22745,0.77428,0.7527,0.76792,0.41881,1.6417,1.174,1.88729,0.000660045,0.000660045,0.000660045
125,10944.1,0.95562,0.69511,1.22284,0.76047,0.75051,0.76376,0.4025,1.63203,1.23528,1.86478,0.000656379,0.000656379,0.000656379
126,11033.4,0.96297,0.71599,1.22389,0.82592,0.73695,0.7643,0.41105,1.59316,1.31874,1.82638,0.000652712,0.000652712,0.000652712
127,11122.3,0.9455,0.70918,1.20298,0.80957,0.77075,0.78078,0.42958,1.56359,1.12437,1.82818,0.000649046,0.000649046,0.000649046
128,11213.5,0.934,0.72345,1.21153,0.76598,0.71599,0.77044,0.42225,1.58699,1.16439,1.8276,0.00064538,0.00064538,0.00064538
129,11304.7,0.96218,0.70792,1.23488,0.83563,0.69123,0.78097,0.4346,1.58694,1.15363,1.82409,0.000641714,0.000641714,0.000641714
130,11394.3,0.94333,0.71418,1.21924,0.8103,0.75323,0.78494,0.4259,1.5923,1.21038,1.81087,0.000638047,0.000638047,0.000638047
131,11484.2,0.94323,0.70395,1.21286,0.77512,0.7651,0.77659,0.42093,1.57557,1.20645,1.79596,0.000634381,0.000634381,0.000634381
132,11574,0.91848,0.69349,1.19401,0.75426,0.77732,0.77151,0.4206,1.56395,1.18007,1.82884,0.000630715,0.000630715,0.000630715
133,11664.7,0.93434,0.69214,1.20057,0.82402,0.70404,0.76378,0.41792,1.5985,1.25075,1.84635,0.000627048,0.000627048,0.000627048
134,11754.6,0.93237,0.67745,1.20443,0.79937,0.71674,0.76914,0.44275,1.56915,1.21413,1.82895,0.000623382,0.000623382,0.000623382
135,11844.5,0.91563,0.68366,1.2012,0.74991,0.74365,0.77193,0.42493,1.62951,1.18633,1.9053,0.000619716,0.000619716,0.000619716
136,11936.1,0.92493,0.68502,1.20558,0.78034,0.69153,0.74519,0.41796,1.63615,1.30904,1.89276,0.000616049,0.000616049,0.000616049
137,12026.9,0.93727,0.69238,1.19944,0.81822,0.74098,0.77846,0.40621,1.58423,1.23611,1.8332,0.000612383,0.000612383,0.000612383
138,12116.6,0.92073,0.66591,1.1835,0.77055,0.82357,0.78073,0.4145,1.56357,1.16976,1.83468,0.000608717,0.000608717,0.000608717
139,12206.6,0.90643,0.68195,1.17312,0.73864,0.77624,0.77372,0.40657,1.57843,1.13799,1.88955,0.000605051,0.000605051,0.000605051
140,12297.1,0.90613,0.66787,1.19333,0.79091,0.77712,0.76915,0.42884,1.56176,1.18774,1.88319,0.000601384,0.000601384,0.000601384
141,12387.7,0.88881,0.67072,1.18829,0.78669,0.72848,0.76741,0.39537,1.62898,1.15991,1.90297,0.000597718,0.000597718,0.000597718
142,12478.2,0.92385,0.67702,1.21825,0.78434,0.76034,0.7707,0.40366,1.61327,1.17596,1.89005,0.000594052,0.000594052,0.000594052
143,12569.1,0.93362,0.69902,1.20699,0.78038,0.74185,0.74362,0.39707,1.62572,1.19566,1.93736,0.000590385,0.000590385,0.000590385
144,12659.3,0.93868,0.67312,1.21786,0.80762,0.73606,0.77263,0.42285,1.57728,1.22598,1.83978,0.000586719,0.000586719,0.000586719
145,12749.4,0.9198,0.67537,1.20535,0.81827,0.70101,0.73804,0.41193,1.60642,1.32728,1.87767,0.000583053,0.000583053,0.000583053
146,12838.2,0.90144,0.67366,1.20577,0.79748,0.74551,0.74785,0.41315,1.57114,1.27814,1.82639,0.000579386,0.000579386,0.000579386
147,12928.9,0.91157,0.66837,1.18574,0.8361,0.71331,0.76228,0.41297,1.61938,1.24865,1.88242,0.00057572,0.00057572,0.00057572
148,13018.4,0.89572,0.67904,1.20333,0.79413,0.76573,0.77169,0.41347,1.63317,1.20252,1.86992,0.000572054,0.000572054,0.000572054
149,13108.9,0.8974,0.67915,1.19647,0.81996,0.75994,0.77949,0.4062,1.61294,1.17694,1.87424,0.000568388,0.000568388,0.000568388
150,13200.3,0.87499,0.64682,1.15588,0.80264,0.76459,0.78051,0.4191,1.58498,1.21769,1.85741,0.000564721,0.000564721,0.000564721
151,13291.3,0.9033,0.66879,1.20412,0.77223,0.75019,0.75774,0.4087,1.63126,1.26314,1.89694,0.000561055,0.000561055,0.000561055
